Price,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
12163.82042,12101,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,0,1
16472.89765,21675,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,1,1,1
21982.64771,20472,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
11031.12993,20156,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,0,1,1
39713.66792,8967,Chevrolet,Corvette,Coupe 2D,Coupe,8,6,2,1,1,1
15457.17059,29925,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,1,0
12741.19023,34815,Chevrolet,Cobalt,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
19471.97485,6608,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
33417.96501,6598,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
11096.85727,20334,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,1,0,0
19177.41206,10414,Chevrolet,Monte Carlo,LS Coupe 2D,Coupe,6,3.8,2,1,1,0
28829.028,26503,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,0,1
14418.16529,19818,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,0,1,1
18835.18976,8211,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,0,1
13072.84163,14311,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,0,1,1
12314.59122,4142,Chevrolet,AVEO,LS Sedan 4D,Sedan,4,1.6,4,0,1,0
19646.71748,21132,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,1,1
16336.91314,16342,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,0
14546.88481,33374,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,1,1
18548.97859,20870,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,0,0
21383.06716,7287,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,1,1
13160.12456,13145,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,0,1,1
19924.15905,19800,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
14584.44812,1160,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
8638.930895,25216,Chevrolet,AVEO,SVM Sedan 4D,Sedan,4,1.6,4,0,0,0
16218.84786,13196,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
38297.46254,16754,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,0,1
16646.7708,20154,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,0,1,1
25618.28188,20208,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2,4,1,0,1
24852.49528,22814,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2,4,1,1,1
14275.12764,18533,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,1,1,1
33381.81915,17381,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2,2,1,1,1
12036.21675,19853,Saturn,Ion,Sedan 4D,Sedan,4,2.2,4,0,1,1
12549.89233,25816,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
9720.97889,20836,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,1,1,0
11521.52589,34998,Saturn,Ion,Sedan 4D,Sedan,4,2.2,4,0,1,1
24063.01268,27674,SAAB,9_3,Linear Sedan 4D,Sedan,4,2,4,1,1,1
15951.81117,26070,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
12573.89994,25048,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
23348.01695,24027,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,0,1
30781.51563,14937,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
35715.76856,6447,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
13310.05959,26143,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
16027.28649,22889,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
17312.90715,21420,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,1,1,1
31970.54208,21208,SAAB,9_3,Linear Conv 2D,Convertible,4,2,2,1,1,0
18004.87041,18771,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
23102.02237,5653,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,0,0
26698.07815,23055,SAAB,9_5 HO,Aero Sedan 4D,Sedan,4,2.3,4,1,1,1
13688.94568,21611,Chevrolet,Cobalt,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
16283.95899,26511,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,0,1
13594.08559,20682,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,1,1,1
16516.95555,20751,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,1,1
19751.04143,20510,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,0,1
11464.62886,29410,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
20099.25684,10036,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,1
34297.30535,24259,Chevrolet,Corvette,Coupe 2D,Coupe,8,6,2,1,0,1
15635.79616,1169,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
14266.91258,8615,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
28185.77625,19854,SAAB,9_5 HO,Aero Sedan 4D,Sedan,4,2.3,4,1,1,1
12412.52111,24664,Saturn,Ion,Sedan 4D,Sedan,4,2.2,4,0,1,1
17839.80077,25453,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,0,1
16713.98469,26328,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,1,1,1
27714.05025,5379,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,1,0
16391.92657,18096,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,1,0
18800.9589,7961,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,0,1,1
18529.34212,30063,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,0,1
27256.49451,26400,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,1,0
29481.52876,21822,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,1,1
27109.40589,22598,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,0,1
11179.95357,23121,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,0,1,1
22384.11869,14788,Chevrolet,Monte Carlo,LT Coupe 2D,Coupe,6,3.8,2,1,1,1
16033.93062,18391,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,1,1
21875.09763,12313,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,0,1
32954.14134,36074,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
21765.06658,25794,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
14582.76912,7115,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,1,1,1
15821.94972,14304,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,1
17750.88457,25040,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
16551.21957,19531,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,1,1
14145.88099,20512,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,1,1,1
32075.98487,23553,SAAB,9_3,Linear Conv 2D,Convertible,4,2,2,1,1,0
11394.8864,25107,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,0,1,1
15589.78048,21307,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
33005.77996,6409,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,1,1
20017.96843,22729,Chevrolet,Monte Carlo,LT Coupe 2D,Coupe,6,3.8,2,1,0,0
10546.78275,38866,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
26781.81465,12052,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,1,0
30274.71058,10800,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,1,0
38824.86909,25960,Chevrolet,Corvette,Conv 2D,Convertible,8,6,2,1,0,1
27703.204,24738,SAAB,9_5 HO,Aero Sedan 4D,Sedan,4,2.3,4,1,1,1
13161.94283,21145,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,1,1,1
11203.14611,27364,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,1,1,1
63913.11725,18200,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
11918.45607,7278,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,0,0
28432.82421,25247,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
40335.73731,14743,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
10354.04385,14521,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,0,1,0
11343.05401,20186,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,1,1,1
11013.87137,25746,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,1,1,1
14881.95545,14376,Saturn,Ion,Quad Coupe 2D,Coupe,4,2.2,2,0,0,0
10897.07651,6699,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,0,1,1
28291.76226,22328,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,1,0
16341.8041,25394,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,0,1,1
22244.87655,50387,SAAB,9_3,Linear Sedan 4D,Sedan,4,2,4,1,0,1
